kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
S,Sx_05_26_camera,Sx_05_26,5,validation,,camera,native,True,255,36.158754848875105,,,8243
S,Sx_05_26_camera,Sx_05_26,5,validation,,camera,best,True,260,45.21863420959562,,,8243
S,Sx_05_26_lighting,Sx_05_26,5,validation,,lighting,native,False,500,62.946683494374156,,,8243
S,Sx_05_26_lighting,Sx_05_26,5,validation,,lighting,best,True,340,56.98251327127218,,,8243
S,Sx_05_26_combined,Sx_05_26,5,validation,,combined,native,True,255,36.45585476048291,,,8243
S,Sx_05_26_combined,Sx_05_26,5,validation,,combined,best,True,280,49.326874542050064,,,8243
S,Sx_05_34_normal,Sx_05_34,5,validation,,normal,native,True,235,33.85067081451416,,,8251
S,Sx_05_34_normal,Sx_05_34,5,validation,,normal,best,True,260,46.08861817792058,,,8251
S,Sx_05_34_camera,Sx_05_34,5,validation,,camera,native,True,225,32.56552389729768,,,8251
S,Sx_05_34_camera,Sx_05_34,5,validation,,camera,best,True,295,50.8543446296826,,,8251
S,Sx_05_34_lighting,Sx_05_34,5,validation,,lighting,native,True,235,33.90778983850032,,,8251
S,Sx_05_34_lighting,Sx_05_34,5,validation,,lighting,best,True,260,46.31813176255673,,,8251
S,Sx_05_34_combined,Sx_05_34,5,validation,,combined,native,True,240,34.464685088954866,,,8251
S,Sx_05_34_combined,Sx_05_34,5,validation,,combined,best,True,255,45.798643656075,,,8251
S,Sx_05_44_normal,Sx_05_44,5,validation,,normal,native,True,250,35.4637473449111,,,8261
S,Sx_05_44_normal,Sx_05_44,5,validation,,normal,best,True,275,48.4318299209699,,,8261
S,Sx_05_44_camera,Sx_05_44,5,validation,,camera,native,True,315,42.63097955659032,,,8261
S,Sx_05_44_camera,Sx_05_44,5,validation,,camera,best,True,255,45.00307213887572,,,8261
S,Sx_05_44_lighting,Sx_05_44,5,validation,,lighting,native,True,250,35.555268285796046,,,8261
S,Sx_05_44_lighting,Sx_05_44,5,validation,,lighting,best,True,275,48.678397385403514,,,8261
S,Sx_05_44_combined,Sx_05_44,5,validation,,combined,native,True,330,44.34341668989509,,,8261
S,Sx_05_44_combined,Sx_05_44,5,validation,,combined,best,True,275,47.97607729583979,,,8261
S,Sx_10_22_normal,Sx_10_22,10,train,,normal,native,True,140,21.784596473909914,,,13239
S,Sx_10_22_normal,Sx_10_22,10,train,,normal,best,True,120,23.994407700374722,,,13239
S,Sx_10_22_camera,Sx_10_22,10,train,,camera,native,False,300,38.89488592278212,,,13239
S,Sx_10_22_camera,Sx_10_22,10,train,,camera,best,False,300,49.6235014712438,,,13239
S,Sx_10_22_lighting,Sx_10_22,10,train,,lighting,native,True,140,21.985143828205764,,,13239
S,Sx_10_22_lighting,Sx_10_22,10,train,,lighting,best,True,120,23.963130314834416,,,13239
S,Sx_10_22_combined,Sx_10_22,10,train,,combined,native,False,300,38.929111680947244,,,13239
S,Sx_10_22_combined,Sx_10_22,10,train,,combined,best,False,300,50.34802811034024,,,13239
S,Sx_10_26_normal,Sx_10_26,10,train,,normal,native,True,125,20.185353860259056,,,13243
S,Sx_10_26_normal,Sx_10_26,10,train,,normal,best,True,140,26.950111974030733,,,13243
S,Sx_10_26_camera,Sx_10_26,10,train,,camera,native,True,130,21.068114899098873,,,13243
S,Sx_10_26_camera,Sx_10_26,10,train,,camera,best,True,155,28.74052456766367,,,13243
S,Sx_10_26_lighting,Sx_10_26,10,train,,lighting,native,True,115,19.23869813233614,,,13243
S,Sx_10_26_lighting,Sx_10_26,10,train,,lighting,best,False,300,49.66028885636479,,,13243
